,job_id,job_title,company,state,district,location_desc,category,role,min_salary,max_salary,type_salary,date
28357,74797222,Admin Assistant,R&F Property Services Group,01,,johor bahru district,01,administration-officer,3000.0,4000.0,monthly,2024-03-28
28358,74741984,Audit Internship,Private Advertiser,01,,johor bahru district,00,audit,850.0,1250.0,monthly,2024-03-30
28359,74736656,F&B Operations (Internship),See Hoy Chan Facilities Management Sdn. Bhd.,10,1007,petaling,15,,799.0,800.0,monthly,2024-03-29
28360,74807746,Operation Assistant,Vitop Malaysia Sdn. Bhd.,14,14,kepong,01,operations-assistant,2300.0,3000.0,monthly,2024-03-29
28361,74816967,English Reading Specialist Teacher,I Can Read Malaysia (Literacy Hub Sdn Bhd),14,,kuala lumpur,10,specialist-teacher,45.0,60.0,hourly,2024-03-30
28362,74808997,Admin Executive,Pa International Property Management Kl Sdn. Bhd.,10,,selangor,01,administrative-executive,2200.0,2500.0,monthly,2024-03-29
28364,74818412,Accounts Cum HR Executive,Goviral Digital Sdn. Bhd.,10,1007,petaling,00,human-resource-executive,3000.0,4500.0,monthly,2024-03-30
28366,74797085,Admin Executive,Amiya Energy Sdn. Bhd.,01,,johor bahru district,01,administrative-executive,3000.0,3700.0,monthly,2024-03-29
28367,74732450,Admin Officer,Leading Travel Planners Sdn.. Bhd.,14,,kuala lumpur,01,administration-officer,2200.0,3000.0,monthly,2024-03-26
28368,74817106,Senior Marketing Executive,Uni Life Sdn. Bhd.,14,,kuala lumpur,21,marketing-executive,4500.0,5500.0,monthly,2024-03-30
28370,74810266,Customer Success Executive,Growth Valley Sdn. Bhd.,10,1007,petaling,05,Customer-Success-Executive,4000.0,6000.0,monthly,2024-03-29
28373,74769945,Accounts Executive,Ycs Management & Consulting Services,01,,johor bahru district,00,accounts-executive,3500.0,5000.0,monthly,2024-03-27
28376,74810796,Project Executive,Cape Ems Berhad,01,,johor bahru district,20,project-executive,3800.0,5500.0,monthly,2024-03-29
28377,74809340,Logistic Executive,Advancecon Infra Sdn. Bhd.,10,,selangor,20,logistics-executive,5000.0,6000.0,monthly,2024-03-29
28382,74807053,Account Officer,Charoen Pokphand Group Malaysia,10,1007,petaling,00,account-officer,2900.0,3500.0,monthly,2024-03-29
28383,74810735,Online Customer Service Junior Executive (å®¢æä¸åï¼,Absolute Trade,10,1007,petaling,05,customer-service-executive,2800.0,4000.0,monthly,2024-03-29
28384,74807302,Executive - Onboarding,Hartalega Ngc Sdn. Bhd.,10,10,sepang,16,Executive,3400.0,4500.0,monthly,2024-03-29
28385,74810299,Retail Pharmacist (Northern Selangor Area),Sunway Multicare Pharmacy,10,1008,sabak bernam,14,retail-pharmacist,6600.0,9900.0,monthly,2024-03-29
28388,74809295,Shipping Executive,Apex Glove Sdn. Bhd.,10,10,klang district,20,shipping-executive,3500.0,5000.0,monthly,2024-03-29
28389,74809199,Marketing Executive è¥éåè°å,Fiffy Sdn. Bhd.,01,,johor bahru district,21,marketing-executive,3500.0,4500.0,monthly,2024-03-29
28390,74799843,Sales Support Manager,Emax Beautã© International Sdn. Bhd.,14,14,bangsar,05,sales-support-manager,7500.0,9500.0,monthly,2024-03-28
28391,74808651,ADMIN ASSISTANTS,Udani Carpets Sdn. Bhd.,14,,kuala lumpur,01,administration-officer,2500.0,2800.0,monthly,2024-03-29
28393,74810414,Supervisor / Senior Procurement Specialist   èµæ·±éè´­ä¸»ä»»/ ä¸å,Best Global Logistics Technology (Malaysia) Sdn. Bhd.,10,10,shah alam/subang,20,procurement-specialist,4500.0,6500.0,monthly,2024-03-29
28395,74817942,ACCOUNT CUM ADMIN,Yamata Industries Sdn. Bhd.,10,10,kajang/bangi/serdang,00,accounts-role,2000.0,3000.0,monthly,2024-03-30
28396,74751130,Trust Accountant & AML Compliance Officer (Work from Home),Acs Lawyers Limited,14,,kuala lumpur,00,"Anti,-Money-Laundering-Compliance-Officer",6000.0,9000.0,monthly,2024-03-27
28400,74812891,Sales Admin Assistant (Fresh Graduate),True Maxway Sdn. Bhd.,06,0602,seberang perai,01,sales-administration-assistant,1700.0,2500.0,monthly,2024-03-29
28401,74807262,Planner Executive,Sing Mah Marketing Sdn. Bhd.,01,0105,kulai district,24,Executive,3500.0,4500.0,monthly,2024-03-29
28404,74755254,Customer Service Assistant å®¢æå©ç,R&F Property Services Group,01,,johor,05,customer-service-assistant,2800.0,3800.0,monthly,2024-03-27
28405,74810339,"Internship (E-Commerce, Marketing, Multimedia)",Take Me Home Enterprise,14,,kuala lumpur,21,marketing,700.0,1000.0,monthly,2024-03-29
28408,74807707,Senior Merchandiser (Fashion Design),Sub Crew Apparel Sdn. Bhd.,14,14,mid valley city,09,merchandiser,5000.0,7000.0,monthly,2024-03-29
28409,74816592,Production Supervisor çäº§ä¸»ç®¡,Sk 8 Engineering Sdn. Bhd.,01,,johor bahru district,20,production-supervisor,4000.0,5000.0,monthly,2024-03-30
28410,74811764,Fine Dining Waiter/Waitress cum Host,Rapid F & B Sdn. Bhd.,14,14,kuala lumpur city centre,15,fine-dining-waitperson,2800.0,4000.0,monthly,2024-03-29
28413,74809496,HR Assistant,Sen Kee Food Trading Sdn. Bhd.,10,1007,petaling,16,human-resources-assistant,1800.0,2500.0,monthly,2024-03-29
28414,74818317,Senior Account Executive,Mobileone Technology Sdn. Bhd.,10,1007,petaling,00,account-executive,4000.0,5500.0,monthly,2024-03-30
28416,74807416,Executive Regulatory Affairs,Duopharma Biotech Bhd. Group Of Companies.,10,1007,petaling,14,regulatory-affairs-executive,3000.0,4000.0,monthly,2024-03-29
28418,74810631,Account Executive,Terra Group Holdings,10,1007,petaling,00,account-executive,3500.0,4500.0,monthly,2024-03-29
28423,74810394,Agronomist Executive,Golden Fruit Harvest Plantation Sdn. Bhd.,08,0811,muallim district,12,agronomist,2500.0,3700.0,monthly,2024-03-29
28425,74822212,Production Leader,Orifast Solutions Sdn. Bhd.,06,0602,seberang perai,20,production-leader,2500.0,3600.0,monthly,2024-03-31
28426,74766194,Social Media Executive,M&R Care Sdn.. Bhd.,06,0605,kuantan district,21,social-media-executive,2500.0,3000.0,monthly,2024-03-29
28427,74813597,Telemarketing Executive (TikTok Package) *High Commission,Top Click Sdn. Bhd.,10,1007,petaling,05,Telemarketing-Executive,4000.0,6000.0,monthly,2024-03-29
28428,74807059,Internship Business Study/ Administrative Management (Intake June/July-Dec 2024),Thunder Print Sdn. Bhd.,02,0204,kuala muda,01,,900.0,1200.0,monthly,2024-03-29
28430,74807441,Admin cum Accounts Assistant,Pronal Sdn. Bhd.,14,14,mont kiara,01,accounts-and-admin-assistant,2500.0,3500.0,monthly,2024-03-29
28433,74823670,"Accountant (Singapore, Remote Support)",Primestaff Management Services Pte Ltd,14,,kuala lumpur,00,accountant,4000.0,4500.0,monthly,2024-03-31
28434,74809354,Accounts Executive Receivable,Anytime Fitness Malaysia | Inspire Brands Capital,01,,johor bahru district,00,accounts-executive,2500.0,3500.0,monthly,2024-03-29
28436,74810507,Accounts Executive,Darson Electronics Sdn. Bhd.,01,,johor bahru district,00,accounts-executive,3500.0,4500.0,monthly,2024-03-29
28437,74809190,IT Executive - Intern,Elite Advance Service Sdn. Bhd.,01,,johor bahru district,17,information-technology-executive,800.0,1000.0,monthly,2024-03-29
28440,74807879,Audit Semi Senior / Senior,Cw Partners Plt,10,1007,petaling,00,audit,3800.0,5500.0,monthly,2024-03-29
28444,74809166,Admin Executive,Hive United (M) Sdn. Bhd.,01,,johor bahru district,01,administrative-executive,2300.0,3200.0,monthly,2024-03-29
28448,74810789,Assistant Accountant,Le Magnifique Sb,,,tawau district,00,assistant-accountant,3800.0,5000.0,monthly,2024-03-29
28449,74808663,Assistant Accountant/Accountant (Treasury),Tomypak Flexible Packaging Sdn. Bhd.,01,,johor bahru district,00,assistant-accountant,5500.0,7000.0,monthly,2024-03-29
28450,74799090,Food Delivery Channel Director,Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,14,,kuala lumpur,25,channel-director,12000.0,18000.0,monthly,2024-03-28
28451,74813557,Financial Specialist Internship,Jaguar Solutions Sdn Bhd (Klang Jaguar Group),10,,selangor,03,finance-specialist,400.0,600.0,monthly,2024-03-29
28453,74807484,Associate â Finance System and MDG Team (Finance Shared Services Center),Mcdonald'S Malaysia- Gerbang Alaf Restaurants Sdn. Bhd.,10,,selangor,00,finance,2400.0,3500.0,monthly,2024-03-29
28456,74810403,PRODUCTION EXECUTIVE,Acestahl Engineering Sdn. Bhd.,10,10,gombak district,11,production-executive,3000.0,4500.0,monthly,2024-03-29
28457,74765549,E-COMMERCE EXECUTIVE,Playboy Malaysia,14,14,taman oug,21,e-commerce-executive,3500.0,5000.0,monthly,2024-03-27
28458,74824639,Relationship Manager ( SME/SMI ),Pro Vision Wealth Management Sdn. Bhd.,10,,selangor,16,Small-Medium-Entreprise-Relationship-Manager,5000.0,7500.0,monthly,2024-03-31
28459,74766472,Audit Assistant,K K Goh & Co (Semua House),14,,kuala lumpur,00,audit-assistant,2700.0,3600.0,monthly,2024-03-27
28460,74808183,Accounts Payable Executive (Junior/ Senior),Doo Group,14,14,bangsar south,00,accounts-payable-executive,4500.0,6500.0,monthly,2024-03-29
28461,74810500,Purchasing Executive,Xinyi Energy Smart (M) Sdn. Bhd.,04,0402,jasin district,20,purchasing-executive,3000.0,4500.0,monthly,2024-03-29
28462,74813479,CLINIC ASSISTANT,Polikliniksouthcity Sdn. Bhd.,10,10,kajang/bangi/serdang,14,clinic-assistant,1500.0,2000.0,monthly,2024-03-29
28463,74813521,INTERNSHIP - Mass communication,Polikliniksouthcity Sdn. Bhd.,10,10,kajang/bangi/serdang,21,,500.0,750.0,monthly,2024-03-29
28464,74807858,HR Recruiter / Business Development Internship (Training provided),Recruit Express Pte Ltd,14,,kuala lumpur,16,business-development,,1000.0,monthly,2024-03-29
28465,74822187,Production Supervisor,Orifast Solutions Sdn. Bhd.,06,0602,seberang perai,20,production-supervisor,3100.0,4500.0,monthly,2024-03-31
28467,74808754,PERSONAL ASSISTANT,Llt Group (Malaysia) Sdn. Bhd.,06,0605,kuantan district,01,personal-assistant,4000.0,5000.0,monthly,2024-03-29
28468,74809568,Senior Finance Manager & Operations,Ous Group Of Companies,14,,kuala lumpur,00,finance-manager,14000.0,16000.0,monthly,2024-03-29
28469,74760811,CUSTOMER RELATIONSHIP EXECUTIVE å®¢æ·ç®¡çä¸å,Tai Orient Medical Tourism Services Sdn. Bhd.,10,1007,petaling,05,client-relationship-executive,3000.0,3800.0,monthly,2024-03-27
28472,74812865,Marketing Executive,Lbb Malaysia Sdn. Bhd.,14,,kuala lumpur,21,marketing-executive,2800.0,3500.0,monthly,2024-03-29
28473,74808826,Executive Housekeeper,New World Suites Sdn. Bhd.,13,1302,bintulu division,15,executive-housekeeper,4000.0,6000.0,monthly,2024-03-29
28476,74809309,QC cum Halal Executive,Pastry World Sdn. Bhd.,10,10,klang district,20,Halal-Executive,3000.0,4500.0,monthly,2024-03-29
28477,74809259,Human Resource cum Admin Executive,Illegear Sdn. Bhd.,14,,kuala lumpur,16,administrative-executive,3000.0,4000.0,monthly,2024-03-29
28478,74811364,Account Assistant,M S Cooling Sdn. Bhd.,10,1002,hulu langat,00,account-assistant,3000.0,3500.0,monthly,2024-03-29
28479,74799442,Corporate Sales Executive,Justel Sdn. Bhd.,14,,kuala lumpur,25,corporate-sales-executive,4000.0,6000.0,monthly,2024-03-28
28480,74808962,Account Executive,Kt Haulage Sdn. Bhd.,,,others,00,account-executive,3400.0,5000.0,monthly,2024-03-29
28481,74810674,DIGITAL ASIC DESIGNER,Microtest Pacific Sdn. Bhd.,04,,melaka,11,designer,4000.0,6000.0,monthly,2024-03-29
28482,74807916,Safety & Health Officer,Shin-Etsu (Malaysia) Sdn. Bhd.,10,10,shah alam/subang,16,health-and-safety-officer,3000.0,3500.0,monthly,2024-03-29
28483,74809061,Admin Executive,Vroom Solutions Sdn. Bhd.,10,10,klang district,01,administrative-executive,2800.0,4200.0,monthly,2024-03-29
28484,74807682,Project Engineer (M&E),Crfg Malaysia Berhad,13,1306,miri division,11,project-engineer,4000.0,6000.0,monthly,2024-03-29
28485,74809524,Graphic Designer,Matador Media,01,,johor bahru district,02,graphic-designer,2700.0,3600.0,monthly,2024-03-29
28486,74793319,Account cum Admin,Private Advertiser,10,10,kajang/bangi/serdang,00,accounts-role,2500.0,3500.0,monthly,2024-03-28
28487,74810017,ADMIN EXECUTIVE,Bidfood Malaysia Sdn.. Bhd.,06,0602,seberang perai,01,administrative-executive,3000.0,3800.0,monthly,2024-03-29
28488,74704696,Customer Service Executive (Office),Js Empire Express,01,,johor bahru district,01,customer-service-executive,2500.0,3750.0,monthly,2024-03-28
28489,74809000,ACCOUNTS EXECUTIVE,Synoedge Sdn. Bhd.,14,,kuala lumpur,00,accounts-executive,2800.0,4200.0,monthly,2024-03-29
28492,74780654,Marketing Specialist,Cadfem Malaysia Sdn. Bhd.,07,,penang,21,marketing-specialist,3800.0,5000.0,monthly,2024-03-28
28494,74810054,HUMAN RESOURCE EXECUTIVE,Toyota Auto Body (M) Sdn. Bhd.,10,10,shah alam/subang,16,human-resource-executive,3400.0,4000.0,monthly,2024-03-29
28495,74806838,Accounts Officer (AP),Wpg Holdings,10,1007,petaling,00,account-officer,2800.0,4000.0,monthly,2024-03-29
28498,74799013,"Sales Development Representative, Digital Services",Ninja Logistics (Thailand) Limited.,10,1007,petaling,05,sales-development-representative,3000.0,4000.0,monthly,2024-03-28
28501,74807323,Account Executive (WFH - ALOR SETAR),Intelligent Advisory Sdn. Bhd.,02,0203,kota setar,00,account-executive,1700.0,2500.0,monthly,2024-03-29
28502,74823649,Indoor Sales Consultant,Lavish Auto Pttn Sdn. Bhd.,14,14,setapak,24,sales-consultant,3500.0,5250.0,monthly,2024-03-31
28504,74752552,[Remote Work] Customer Service Representative (English - å»£æ±è©±),Spread-It Limited,14,14,kampung malaysia raya,05,customer-service-representative-csr,3500.0,4500.0,monthly,2024-03-27
28505,74808592,Human Resources Executive,Citymedic Sdn. Bhd.,10,1007,petaling,16,human-resource-executive,3000.0,4200.0,monthly,2024-03-29
28506,74807574,OPERATION EXECUTIVE,Amalgamated Facility Services Sdn. Bhd.,10,1007,petaling,01,operations-executive,3500.0,5000.0,monthly,2024-03-29
28509,74810838,Corporate Compliance Executive/Senior Executive,Deleum Berhad,14,,kuala lumpur,03,compliance-executive,3000.0,4500.0,monthly,2024-03-29
28511,74733043,Administration Assistant,The Asia Foundation Malaysia,14,,kuala lumpur,01,administration-officer,3250.0,4750.0,monthly,2024-03-26
28512,74807941,Accounts Executive,Bbsb Holdings Sdn. Bhd.,10,1007,petaling,00,accounts-executive,3000.0,4500.0,monthly,2024-03-29
28513,74810742,Admin Assistant - Microsoft Excel / Great communication skills**Immediate Start,Agensi Pekerjaan Jobonline Sdn. Bhd.,05,0506,seremban district,01,administration-officer,2000.0,2200.0,monthly,2024-03-29
28514,74813526,INTERNSHIP - HUMAN RESOURCES,Polikliniksouthcity Sdn. Bhd.,10,,selangor,16,human-resource,500.0,750.0,monthly,2024-03-29
28515,74808091,Account Executive,Grandhome Development Sdn. Bhd.,04,,melaka,00,account-executive,2800.0,4200.0,monthly,2024-03-29
28519,74807881,Strategic Communication Executive,Yayasan Hijrah Selangor,10,10,shah alam/subang,21,communications-executive,3000.0,4500.0,monthly,2024-03-29
28523,74751853,Purchasing Executive,Smartlink Engineering Sdn. Bhd.,10,,selangor,20,purchasing-executive,3000.0,4000.0,monthly,2024-03-27
28525,74807450,ACCOUNT EXECUTIVE,Techno Fresh Agro-Produce Sdn. Bhd.,10,10,gombak district,00,account-executive,4000.0,5000.0,monthly,2024-03-29
28528,74750794,"Credits Specialist / Risk Control Executive (KL, Johor, Sabah & Sarawak)",Zoomlion Heavy Industry (Malaysia) Sdn.. Bhd.,10,10,klang district,03,credit-specialist,4800.0,7000.0,monthly,2024-03-27
28529,74811028,Marketing (Level - Officer/Executive),Heveapac Sdn. Bhd.,05,0506,seremban district,21,Executive,2500.0,3500.0,monthly,2024-03-29
28530,74807276,Subcontractor Management (Internship),Evonik Malaysia Sdn. Bhd.,10,1007,petaling,20,,800.0,1000.0,monthly,2024-03-29
28531,74768830,Air Cond Specialist - Assistant Manager (East Malaysia - Sabah),Haier Electrical  Appliances (M) Sdn. Bhd.,12,,sabah,24,assistant-manager,9500.0,14000.0,monthly,2024-03-27
28532,74817706,PLANNER,Visco Technology Sdn. Bhd.,06,0602,seberang perai,20,planner,3500.0,4300.0,monthly,2024-03-30
28533,74808364,Marketing Executive,Lau Malaysia Distribution Sdn. Bhd.,14,,kuala lumpur,21,marketing-executive,3500.0,5000.0,monthly,2024-03-29
28537,74807431,ACCOUNT EXECUTIVE,Xl Foods Sdn. Bhd.,14,14,mont kiara,00,account-executive,3300.0,4500.0,monthly,2024-03-29
28539,74799647,"Visual Merchandiser (Retail, Fashion)",Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,14,,kuala lumpur,24,visual-merchandiser,4500.0,5500.0,monthly,2024-03-28
28541,74810334,Human Resources Executive / Senior Executive,Ferrotec Power Semiconductor Malaysia Sdn. Bhd.,01,,johor bahru district,16,human-resource-executive,4000.0,6000.0,monthly,2024-03-29
28542,74808673,Customer Support Executive,Hayamim Ava Sdn. Bhd.,10,10,gombak district,01,customer-support-executive,2500.0,3000.0,monthly,2024-03-29
28544,74810528,Regional Accounts Executive,Ccic Malaysia Commodities Inspection Sdn. Bhd.,10,10,klang district,00,accounts-executive,2800.0,3400.0,monthly,2024-03-29
28545,74812779,ç§äººå©çå¼ä¸å¡æå±å©ç Personal Assistant & Business Development Executive,Jipinhe Scones (My) Sdn. Bhd.,10,,selangor,01,business-development-executive,3500.0,5000.0,monthly,2024-03-29
28547,74810224,HR Executive,Mejorcare Sdn. Bhd.,14,14,bangsar south,16,human-resource-executive,3000.0,4500.0,monthly,2024-03-29
28550,74807849,Sales Admin,Wing Hin Motor Sdn. Bhd.,10,1002,hulu langat,01,sales-administration,2000.0,3000.0,monthly,2024-03-29
28553,74809425,Internship for Marketing students,Jp Asia Capital Sdn. Bhd.,10,,selangor,21,marketing,1500.0,2000.0,monthly,2024-03-29
28554,74810237,Ceramic Engineer,Torrecid Malaysia Sdn. Bhd.,01,,johor,11,engineer,3600.0,4000.0,monthly,2024-03-29
28555,74807483,Customer Success ( Client Retention ),Ctos Data Systems Sdn. Bhd.,12,1207,kota kinabalu district,25,,4000.0,5500.0,monthly,2024-03-29
28556,74809067,FINANCE  MANAGER,Koyo Corporate (M) Sdn. Bhd.,10,1007,petaling,00,finance-manager,6667.0,10000.0,monthly,2024-03-29
28557,74810775,Credit Analysis Executive,Mytukar Sdn. Bhd.,10,10,shah alam/subang,03,Credit-Analysis-Executive,3000.0,4500.0,monthly,2024-03-29
28558,74810220,Administrator,Habuta Hca Sdn. Bhd.,14,,kuala lumpur,01,administration-officer,2500.0,3000.0,monthly,2024-03-29
28559,74809995,Marketing Executive,Worldklang Group Development Sdn. Bhd.,10,1007,petaling,21,marketing-executive,4000.0,6000.0,monthly,2024-03-29
28560,74810234,Intern â Marketing,Vivid Telecommunication Sdn. Bhd.,10,,selangor,21,marketing,600.0,800.0,monthly,2024-03-29
28563,74808244,NOC Engineer,Cdnetworks (M) Sdn. Bhd.,14,,kuala lumpur,17,network-operations-centre-engineer,3000.0,4500.0,monthly,2024-03-29
28564,74810297,CUSTOMER CARE,Coaction Events Sdn. Bhd.,01,,johor bahru district,01,customer-service-role,2500.0,3000.0,monthly,2024-03-29
28565,74806814,Account Officer,Charoen Pokphand Group Malaysia,10,10,klang district,00,account-officer,2900.0,4000.0,monthly,2024-03-29
28567,74809958,Account Admin,Alys Buildsworth Snd Bhd.,10,1007,petaling,00,accounts-administrator,2000.0,3000.0,monthly,2024-03-29
28568,74822918,Videographer cum Editor,Sth Marketing Sdn. Bhd.,10,,selangor,02,videographer,2900.0,3600.0,monthly,2024-03-31
28570,74807739,Senior IT Executive,Quanterm Logistics Sdn. Bhd.,10,10,shah alam/subang,17,information-technology-executive,5000.0,6000.0,monthly,2024-03-29
28573,74810583,HR EXECUTIVE (HIGH-RISE BUILDING CONSTRUCTION),Crest Builder Sdn. Bhd.,10,1007,petaling,01,human-resource-executive,4000.0,6000.0,monthly,2024-03-29
28576,74807781,Medical Claims Executive,Private Advertiser,10,1007,petaling,18,Medical-Claims-Executive,2800.0,4000.0,monthly,2024-03-29
28578,74810018,Finance Assistant Manager (2 Vancancies),Ditrolic Sdn Bhd .,10,1007,petaling,00,assistant-finance-manager,6000.0,8000.0,monthly,2024-03-29
28579,74799533,Field Trainer (Retail),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,14,,kuala lumpur,24,Field-Trainer,5500.0,8000.0,monthly,2024-03-28
28581,74788182,Junior Account & Admin Assistant,Msv International Sdn. Bhd.,07,,penang island,00,accounts-and-admin-assistant,2200.0,2800.0,monthly,2024-03-29
28582,74811595,Radiographer Cum Mammogram,Metro Cllnlcal Practlse Group Sdn. Bhd.,10,10,shah alam/subang,14,radiographer,2500.0,2800.0,monthly,2024-03-29
28583,74807334,CLIENT SUCCESS  EXECUTIVE,Dataxet Malaysia Sdn. Bhd.,10,1007,petaling,25,Client-Success-Executive,3500.0,4500.0,monthly,2024-03-29
28585,74808559,Temporary Purchasing Executive,Porex Technologies Sdn Bhd (Of Filtration Group),10,10,shah alam/subang,20,purchasing-executive,2600.0,3500.0,monthly,2024-03-29
28586,74810778,Account cum Admin,Sv Prestige Sdn. Bhd.,10,1007,petaling,00,accounts-role,2300.0,3450.0,monthly,2024-03-29
28587,74819227,Sales & Marketing Executives (several positions),Private Advertiser,10,,selangor,23,sales-and-marketing-executive,3400.0,4500.0,monthly,2024-03-30
28588,74810896,Account Officer/Clerks,Ssc Shipping Sdn. Bhd.,10,10,klang district,00,account-officer,2500.0,2800.0,monthly,2024-03-29
28589,74812787,Database Administrator,Far-East Business Technology Sdn. Bhd.,10,1007,petaling,17,database-administrator,5500.0,7000.0,monthly,2024-03-29
28590,74810083,Accounts Assistant / Executive,Plp Electrical Engineering Sdn. Bhd.,10,1007,petaling,00,account-executive,3000.0,4500.0,monthly,2024-03-29
28591,74812780,Retail Executive (Chow Kit),Bwy Holdings Sdn. Bhd.,,,chow kit,24,retail-executive,2600.0,3800.0,monthly,2024-03-29
28595,74810667,Marketing-Content Creator (Tiktok),Maze Concept (Hq) Sdn. Bhd.,10,1007,petaling,21,content-creator,1800.0,2700.0,monthly,2024-03-29
28597,74808670,General Manager,Hexamine Sdn. Bhd.,14,14,kuala lumpur city centre,04,general-manager,12000.0,17000.0,monthly,2024-03-29
28598,74808006,Account and Administrative Executive,Hedgeford Sdn. Bhd.,14,14,wangsa maju,00,Accounts-and-Administration-Executive,3000.0,3800.0,monthly,2024-03-29
28599,74810123,HR Executive (Recruitment),Endless Trading Sdn. Bhd.,14,,kuala lumpur,16,human-resource-executive,5000.0,7000.0,monthly,2024-03-29
28601,74809548,Customer Support Specialist,Oneclicksolutions,07,,penang island,17,customer-support-specialist,2800.0,4000.0,monthly,2024-03-29
28606,74816562,Building Executive / Building Manager,Badan Pengurusan Bersama Geo 38 Residence,06,0601,bentong district,23,building-executive,4000.0,4500.0,monthly,2024-03-30
28607,74808543,Marketing Executive,Mysense Sdn. Bhd.,10,1007,petaling,21,marketing-executive,4500.0,5500.0,monthly,2024-03-29
28608,74810482,Finance Executive/Assistant (One-Year Contract Employment),Shaklee Products (M) Sdn. Bhd.,10,1007,petaling,00,executive-assistant,2200.0,2500.0,monthly,2024-03-29
28611,74807803,MANAGEMENT TRAINEE,Kibing Group Malaysia Sdn. Bhd.,05,0506,seremban district,20,management-trainee,2500.0,3700.0,monthly,2024-03-29
28612,74810130,ACCOUNT EXECUTIVE,Corrugated Offset Packaging (M) Sdn. Bhd.,05,0506,seremban district,00,account-executive,3000.0,3500.0,monthly,2024-03-29
28613,74814503,Account Executive,Sk Gadget Sdn. Bhd.,10,1007,petaling,00,account-executive,4000.0,4300.0,monthly,2024-03-29
28614,74807765,Sales Admin Executive éå®è¡æ¿ä¸å,Greenland Danga Bay Sdn. Bhd.,01,,johor bahru district,01,Sales-Administration-Executive,2500.0,3500.0,monthly,2024-03-29
28615,74817019,Site Supervisor,Polo Hartajaya Sdn. Bhd.,08,0807,kinta district,07,site-supervisor,2800.0,4000.0,monthly,2024-03-30
28616,74811698,Senior Account Cum HR,Hks Infra & Earthwork Sdn. Bhd.,10,1007,petaling,00,accounts-role,4400.0,6500.0,monthly,2024-03-29
28617,74822766,Prudential BSN Takaful (RM3K - 10K Monthly),Prudential Muqmeen Group,10,1007,petaling,25,,4000.0,6000.0,monthly,2024-03-31
28618,74810626,Key Account Executive (Medical Device Industry),Vital Healthcare Sdn. Bhd.,10,10,klang district,25,Key-Account-Executive,3500.0,5000.0,monthly,2024-03-29
28619,74816619,PHP Web Developer,Asia Ocean Tech (M) Sdn. Bhd.,14,,kuala lumpur sentral,17,php-web-developer,4800.0,7200.0,monthly,2024-03-30
28622,74812237,Production Supervisor,Kerry Malaysia,01,,johor bahru district,26,production-supervisor,4000.0,6000.0,monthly,2024-03-29
28624,74808955,Personal Assistant to CEO,Powerfabric Sdn. Bhd.,10,1005,kuala langat,01,personal-assistant-to-the-chief-executive-officer,3000.0,3500.0,monthly,2024-03-29
28625,74753209,Human Resource Executive,Pmb Aluminium Sdn. Bhd.,05,0506,seremban district,16,human-resource-executive,3500.0,5000.0,monthly,2024-03-27
28628,74825676,Mechanic (Retail Shop),Meng Kah Auto Parts Trading Sdn. Bhd.,10,1007,petaling,24,mechanic,2500.0,3000.0,monthly,2024-03-31
28629,74808232,Creative Executive,Private Advertiser,10,1007,petaling,21,Creative-Executive,4000.0,6000.0,monthly,2024-03-29
28632,74813670,SALES MANAGER AND MANAGEMENT,Yolimex ( Johor ) Sdn. Bhd.,01,,johor bahru district,25,sales-manager,7000.0,10000.0,monthly,2024-03-29
28633,74798916,Human Resources Business Partner (Logistics+),Ninja Logistics (Thailand) Limited.,10,1007,petaling,16,human-resources-business-partner,6350.0,9500.0,monthly,2024-03-28
28635,74812749,Payroll & Admin Assistant Manager,Private Advertiser,10,1007,petaling,00,administration-manager,6500.0,8500.0,monthly,2024-03-29
28636,74810032,Contract Executive,Worldklang Group Development Sdn. Bhd.,10,1007,petaling,07,contract-executive,4000.0,6000.0,monthly,2024-03-29
28637,74774579,Senior Purchasing Executive,Mumsme Sdn. Bhd.,01,,johor bahru district,20,purchasing-executive,3500.0,5000.0,monthly,2024-03-28
28639,74808898,Account Assistant,Gofay Airways Sdn. Bhd.,14,,kuala lumpur,00,account-assistant,2400.0,3000.0,monthly,2024-03-29
28643,74813494,Account cum Admin Executive / Account Assistant,Joel & Co,10,1007,petaling,00,Accounts-and-Administration-Executive,4250.0,6350.0,monthly,2024-03-29
28644,74780940,CUSTOMER SERVICE EXECUTIVE,Tem Electronics (M) Sdn. Bhd.,02,0204,kuala muda,01,customer-service-executive,3000.0,3800.0,monthly,2024-03-28
28645,74810290,Ceramic Technical Assistant,Torrecid Malaysia Sdn. Bhd.,01,,johor bahru district,11,technical-assistant,2900.0,3000.0,monthly,2024-03-29
28648,74793889,Assistant Chemist,M&G Mixing Technologies Sdn. Bhd.,08,0807,kinta district,26,assistant_2,2000.0,3000.0,monthly,2024-03-28
28649,74807718,Admin Executive,Deepsky Sdn. Bhd.,10,1007,petaling,01,administrative-executive,3000.0,4000.0,monthly,2024-03-29
28650,74808650,Translator,Kibing Group Malaysia Sdn. Bhd.,05,0506,seremban district,01,translator,3500.0,5000.0,monthly,2024-03-29
28652,74729859,Admin & Customer Service Executive,Mol Logistics (Malaysia) Sdn. Bhd.,13,1304,kuching division,01,customer-service-executive,3000.0,3800.0,monthly,2024-03-26
